24728.0_2.0,61.0
24956.0_5.0,15.0
21007.0_2.0,49.0
439.0_1.0,34.0
7799.0_1.0,50.0
9003.0_3.0,27.0
26399.0_2.0,80.0
12818.0_3.0,50.0
32443.0_3.0,1.0
32671.0_6.0,5.0
7095.0_3.0,65.0
9707.0_1.0,54.0
16522.0_3.0,10.0
27730.0_1.0,60.0
28381.0_5.0,20.0
15820.0_2.0,38.0
24449.0_2.0,30.0
8128.0_1.0,63.0
19684.0_3.0,48.0
35149.0_1.0,60.0
10191.0_2.0,57.0
1001.0_2.0,52.0
2584.0_3.0,28.0
17329.0_3.0,15.0
29519.0_2.0,78.0
23467.0_1.0,57.0
20533.0_4.0,7.0
3058.0_1.0,44.0
15261.0_2.0,60.0
22814.0_1.0,25.0
6393.0_2.0,47.0
25871.0_2.0,30.0
28765.0_4.0,14.0
17877.0_1.0,50.0
14011.0_3.0,12.0
19072.0_1.0,90.0
437.0_1.0,68.0
17504.0_4.0,24.0
10470.0_2.0,63.0
11557.0_2.0,45.0
15596.0_4.0,3.0
27171.0_1.0,54.0
23083.0_2.0,42.0
5288.0_1.0,80.0
3510.0_2.0,26.0
33798.0_1.0,53.0
16627.0_2.0,92.0
9830.0_1.0,70.0
20812.0_4.0,10.0
33425.0_4.0,11.0
28153.0_2.0,32.0
8356.0_4.0,14.0
9551.0_1.0,44.0
31461.0_2.0,42.0
23362.0_2.0,55.0
23695.0_4.0,31.0
30915.0_1.0,42.0
5567.0_1.0,81.0
20305.0_1.0,60.0
22112.0_3.0,9.0
25976.0_1.0,38.0
560.0_1.0,70.0
17732.0_2.0,51.0
5109.0_3.0,58.0
25978.0_1.0,35.0
629.0_1.0,85.0
4125.0_2.0,65.0
5040.0_3.0,20.0
4038.0_7.0,28.0
3615.0_1.0,46.0
16281.0_2.0,59.0
32586.0_4.0,6.0
8446.0_1.0,38.0
13699.0_3.0,30.0
31423.0_2.0,40.0
35232.0_3.0,15.0
35270.0_1.0,80.0
22253.0_4.0,47.0
24201.0_3.0,43.0
20868.0_1.0,44.0
15031.0_5.0,4.0
15645.0_1.0,50.0
1986.0_1.0,44.0
11450.0_2.0,28.0
27133.0_1.0,19.0
28535.0_4.0,21.0
2164.0_1.0,44.0
6250.0_1.0,71.0
9374.0_4.0,11.0
34532.0_2.0,55.0
32166.0_1.0,33.0
31184.0_1.0,64.0
19928.0_2.0,40.0
332.0_3.0,17.0
3092.0_4.0,6.0
32300.0_5.0,33.0
6319.0_1.0,50.0
33798.0_3.0,22.0
9886.0_2.0,45.0
32635.0_1.0,32.0
3425.0_1.0,51.0
23465.0_3.0,50.0
25413.0_2.0,50.0
25411.0_1.0,40.0
20761.0_3.0,40.0
18280.0_1.0,44.0
30689.0_3.0,4.0
28115.0_1.0,71.0
20810.0_4.0,17.0
16629.0_2.0,17.0
29747.0_3.0,3.0
13641.0_6.0,29.0
28117.0_2.0,60.0
25149.0_5.0,1.0
21188.0_2.0,51.0
34585.0_3.0,13.0
33527.0_7.0,4.0
7464.0_1.0,50.0
30162.0_2.0,32.0
22995.0_1.0,35.0
30039.0_1.0,76.0
13134.0_4.0,25.0
34078.0_1.0,38.0
16998.0_3.0,23.0
11787.0_3.0,55.0
3796.0_3.0,15.0
4827.0_4.0,36.0
6022.0_3.0,21.0
11275.0_5.0,42.0
8674.0_3.0,25.0
15417.0_3.0,3.0
18349.0_1.0,82.0
33617.0_1.0,50.0
22639.0_2.0,75.0
19503.0_3.0,65.0
13646.0_2.0,32.0
8915.0_1.0,46.0
18193.0_2.0,41.0
29329.0_1.0,55.0
5339.0_2.0,48.0
22483.0_3.0,18.0
5337.0_1.0,57.0
7884.0_4.0,2.0
11680.0_1.0,68.0
24766.0_2.0,43.0
1421.0_2.0,76.0
12664.0_2.0,54.0
